Date,AAPL,AMZN,FB,GOOG,MSFT
2015-04-28,123.100502,429.30999800000006,80.68,553.679993,45.474281
2015-04-29,121.29019199999999,429.369995,80.470001,549.080017,45.381786
2015-04-30,117.999596,421.77999900000003,78.769997,537.340027,44.993266999999996
2015-05-01,121.582474,422.869995,78.989998,537.900024,45.011772
2015-05-04,121.34677099999999,423.040009,78.809998,540.780029,44.623264
2015-05-05,118.61246499999999,421.19000199999994,77.559998,530.799988,44.031242
2015-05-06,117.867599,419.100006,78.099998,524.219971,42.810210999999995
2015-05-07,118.59664199999999,426.880005,78.43,530.700012,43.198719
2015-05-08,120.831108,433.69000199999994,78.510002,538.219971,44.169998
2015-05-11,119.60024299999999,432.85000599999995,78.010002,535.700012,43.818489
2015-05-12,119.17418700000002,431.01998899999995,77.459999,529.039978,43.799988
2015-05-13,119.30673200000001,426.869995,78.440002,529.619995,44.058997999999995
2015-05-14,122.09034,432.27999900000003,81.370003,538.400024,45.067271999999996
2015-05-15,121.919922,426.0,80.41999799999999,533.849976,44.678761
2015-05-18,123.264397,425.23999000000003,80.879997,532.299988,44.410503000000006
2015-05-19,123.15078700000001,421.709991,80.629997,537.3599849999999,44.298786
2015-05-20,123.141296,423.85998499999994,80.550003,539.27002,44.298786
2015-05-21,124.400558,431.630005,80.480003,542.51001,44.149815000000004
2015-05-22,125.48935700000001,427.630005,80.540001,540.1099849999999,43.665672
2015-05-26,122.724678,425.47000099999997,79.33000200000001,532.320007,43.377047999999995
2015-05-27,125.015953,431.420013,80.550003,539.789978,44.326716999999995
2015-05-28,124.769791,426.57000700000003,80.150002,539.780029,44.17775
2015-05-29,123.34958600000002,429.23001100000005,79.190002,532.1099849999999,43.628426
2015-06-01,123.59576399999999,430.920013,80.290001,533.98999,43.972912
2015-06-02,123.04663799999999,430.98999000000003,80.440002,539.179993,43.684296
2015-06-03,123.198097,436.589996,82.440002,540.3099980000001,43.619122
2015-06-04,122.478546,430.77999900000003,82.050003,536.700012,43.16291
2015-06-05,121.80630500000001,426.950012,82.139999,533.330017,42.958088000000004
2015-06-08,121.00151799999999,423.5,80.66999799999999,526.830017,42.576355
2015-06-09,120.64173100000001,425.48001100000005,80.66999799999999,526.6900019999999,42.501877
2015-06-10,122.02408600000001,430.76998899999995,82.160004,536.6900019999999,43.395676
2015-06-11,121.74948899999998,432.97000099999997,81.83000200000001,534.6099849999999,43.237389
2015-06-12,120.40503700000001,429.920013,81.529999,532.330017,42.799812
2015-06-15,120.168327,423.670013,80.709999,527.200012,42.343605
2015-06-16,120.812149,427.26000999999997,81.059998,528.150024,42.66946
2015-06-17,120.52811399999999,427.80999800000006,81.790001,529.26001,42.799812
2015-06-18,121.07725500000001,439.39001500000006,82.910004,536.72998,43.498089
2015-06-19,119.865356,434.920013,82.510002,536.6900019999999,42.920840999999996
2015-06-22,120.821625,436.290009,84.739998,538.1900019999999,43.041878000000004
2015-06-23,120.272484,445.98999000000003,87.879997,540.47998,42.743946
2015-06-24,121.29504399999999,440.839996,88.860001,537.840027,42.492569
2015-06-25,120.717476,440.10000599999995,87.980003,535.22998,42.501877
2015-06-26,120.00736200000001,438.10000599999995,88.010002,531.6900019999999,42.138767
2015-06-29,117.905479,429.85998499999994,85.800003,521.52002,41.31015
2015-06-30,118.75759099999999,434.089996,85.769997,520.51001,41.10532
2015-07-01,119.865356,437.39001500000006,86.910004,521.840027,41.384632
2015-07-02,119.713867,437.709991,87.290001,523.400024,41.338078
2015-07-06,119.297279,436.040009,87.550003,522.8599849999999,41.32877
2015-07-07,119.00376100000001,436.72000099999997,87.220001,525.02002,41.244972
2015-07-08,116.04974399999999,429.700012,85.650002,516.830017,41.189114000000004
2015-07-09,113.68273899999998,434.39001500000006,85.879997,520.679993,41.449802000000005
2015-07-10,116.721977,443.51000999999997,87.949997,530.130005,41.5336
2015-07-13,118.975372,455.57000700000003,90.099998,546.549988,42.399464
2015-07-14,118.928009,465.57000700000003,89.68,561.099976,42.473949
2015-07-15,120.073647,461.19000199999994,89.760002,560.219971,42.60429
2015-07-16,121.673759,475.48001100000005,90.849998,579.849976,43.442223
2015-07-17,122.724678,483.01000999999997,94.970001,672.929993,43.404984000000006
2015-07-20,125.04438799999998,488.10000599999995,97.910004,663.02002,43.684296
2015-07-21,123.794601,488.0,98.389999,662.299988,44.019465999999994
2015-07-22,118.558777,488.26998899999995,97.040001,662.099976,42.399464
2015-07-23,118.50196100000001,482.17999299999997,95.440002,644.280029,42.930157
2015-07-24,117.877068,529.419983,96.949997,623.5599980000001,42.771873
2015-07-27,116.239098,531.409973,94.16999799999999,627.26001,42.222557
2015-07-28,116.816643,526.030029,95.290001,628.0,42.213249
2015-07-29,116.447395,529.0,96.989998,631.929993,43.097736
2015-07-30,115.86039699999999,536.76001,95.209999,632.590027,43.647057000000004
2015-07-31,114.847298,536.150024,94.010002,625.6099849999999,43.479465000000005
2015-08-03,112.13944199999999,535.030029,94.139999,631.210022,43.581882
2015-08-04,108.54158799999999,531.900024,94.059998,629.25,44.261536
2015-08-05,109.26116200000001,537.01001,96.440002,643.780029,44.298786
2015-08-06,109.498924,529.460022,95.120003,642.679993,43.404984000000006
2015-08-07,109.86984299999999,522.619995,94.300003,635.299988,43.516712
2015-08-10,113.864433,524.0,94.150002,633.72998,44.066016999999995
2015-08-11,107.93914,527.460022,93.620003,660.780029,43.209465
2015-08-12,109.603546,525.909973,94.190002,659.5599980000001,43.516712
2015-08-13,109.517944,529.659973,93.43,656.450012,43.507397
2015-08-14,110.288322,531.52002,94.41999799999999,657.119995,43.758774
2015-08-17,111.42964199999999,535.219971,93.93,660.869995,44.056713
2015-08-18,110.801933,535.02002,95.16999799999999,656.130005,44.300377000000005
2015-08-19,109.38478899999998,532.919983,95.309998,660.900024,43.681839000000004
2015-08-20,107.140221,515.780029,90.559998,646.830017,42.791523
2015-08-21,100.58721899999999,494.47000099999997,86.059998,612.47998,40.364231
2015-08-24,98.076347,463.369995,82.089996,589.6099849999999,39.061558000000005
2015-08-25,98.666023,466.369995,83.0,582.0599980000001,37.92757
2015-08-26,104.325012,500.76998899999995,87.190002,628.619995,40.026848
2015-08-27,107.397011,518.369995,89.730003,637.6099849999999,41.14209
2015-08-28,107.748924,518.01001,91.010002,630.380005,41.1702
2015-08-31,107.24485,512.8900150000001,89.43,618.25,40.785961
2015-09-01,102.451363,496.540009,87.230003,597.789978,39.19276
2015-09-02,106.84539,510.549988,89.889999,614.340027,40.636013
2015-09-03,104.971733,504.72000099999997,88.150002,606.25,40.767216
2015-09-04,103.925537,499.0,88.260002,600.700012,39.933132
2015-09-08,106.816864,517.539978,89.529999,614.659973,41.132717
2015-09-09,104.762497,516.8900150000001,90.440002,612.719971,40.364231
2015-09-10,107.06413300000001,522.23999,91.980003,621.349976,40.570415000000004
2015-09-11,108.623924,529.4400019999999,92.050003,625.77002,40.748478000000006
2015-09-14,109.67012,521.380005,92.309998,623.23999,40.336117
2015-09-15,110.59268999999999,522.369995,92.900002,635.1400150000001,41.217064
2015-09-16,110.716324,527.3900150000001,93.449997,635.97998,41.516956
2015-09-17,108.348106,538.869995,94.339996,642.900024,41.470096999999996
2015-09-18,107.9011,540.26001,94.400002,629.25,40.748478000000006
2015-09-21,109.57501200000002,548.3900150000001,95.550003,635.4400019999999,41.338898
2015-09-22,107.853531,538.400024,92.959999,622.6900019999999,41.14209
2015-09-23,108.728546,536.070007,93.970001,622.3599849999999,41.113972
2015-09-24,109.37528200000001,533.75,94.410004,625.799988,41.151459
2015-09-25,109.09947199999999,524.25,92.769997,611.969971,41.179577
2015-09-28,106.940506,504.05999800000006,89.209999,594.8900150000001,40.570415000000004
2015-09-29,103.7258,496.07000700000003,86.66999799999999,594.969971,40.710983
2015-09-30,104.905174,511.89001500000006,89.900002,608.419983,41.479473
2015-10-01,104.220398,520.719971,90.949997,611.289978,41.807484
2015-10-02,104.981232,532.539978,92.07,626.909973,42.707176000000004
2015-10-05,105.36167900000001,543.679993,94.010002,641.469971,43.700584
2015-10-06,105.86576799999999,537.47998,92.800003,645.4400019999999,43.813041999999996
2015-10-07,105.36167900000001,541.9400019999999,92.400002,642.3599849999999,43.859894
2015-10-08,104.144302,533.159973,92.470001,639.159973,44.469066999999995
2015-10-09,106.63616200000001,539.799988,93.239998,643.6099849999999,44.150428999999995
2015-10-12,106.14156299999999,550.1900019999999,94.260002,646.669983,44.047337
2015-10-13,106.322281,548.900024,94.120003,652.299988,43.944247999999995
2015-10-14,104.819572,544.830017,94.07,651.159973,43.747440000000005
2015-10-15,106.38887,562.4400019999999,95.959999,661.73999,44.056709000000005
2015-10-16,105.60897800000001,570.76001,97.540001,662.200012,44.525299
2015-10-19,106.26523600000002,573.150024,98.470001,666.099976,44.628387
2015-10-20,108.205444,560.880005,97.0,650.280029,44.76897
2015-10-21,108.195953,555.77002,97.110001,642.6099849999999,44.234778999999996
2015-10-22,109.85083,563.909973,99.66999799999999,651.789978,45.01263
2015-10-23,113.25573700000001,599.030029,102.190002,702.0,49.548576000000004
2015-10-26,109.641594,608.6099849999999,103.769997,712.780029,50.841877000000004
2015-10-27,108.947304,611.01001,103.699997,708.48999,50.317054999999996
2015-10-28,113.43643200000001,617.099976,104.199997,712.950012,50.588829
2015-10-29,114.63481100000001,626.549988,104.879997,716.919983,50.007782
2015-10-30,113.655197,625.900024,101.970001,710.8099980000001,49.333019
2015-11-02,115.253029,628.349976,103.309998,721.1099849999999,49.895325
2015-11-03,116.57503500000001,625.3099980000001,102.58000200000001,722.159973,50.748160999999996
2015-11-04,116.03290600000001,640.950012,103.940002,728.1099849999999,50.982452
2015-11-05,115.49801599999999,655.650024,108.760002,731.25,50.963707
2015-11-06,115.63173700000002,659.369995,107.099998,733.76001,51.46978
2015-11-09,115.16370400000001,655.48999,106.489998,724.8900150000001,50.757529999999996
2015-11-10,111.53409599999999,659.679993,107.910004,728.320007,50.148357
2015-11-11,110.903687,673.25,109.010002,735.400024,50.279571999999995
